dataset,rows,seed,method,status,new_model_fits,original_method_fits,elapsed_seconds,peak_memory_gib,all_loss,l1_loss,error,one_se_loss,argmin_loss,one_se_size,argmin_size,one_se_jaccard,argmin_jaccard,loss_difference,size_difference,jaccard_difference,changed_folds,one_se_minus_all,one_se_minus_l1,argmin_minus_all,argmin_minus_l1
miniboone,3000,502,ungated-T2,complete,6,4779,0.06909070815891027,0.1975860595703125,0.2485277522651054,0.24746706776020658,,0.2616408532032104,0.251279984525347,13.333333333333334,38.0,0.3526570048309179,0.613658536585366,-0.0103608686778634,24.666666666666664,0.26100153175444807,3,0.013113100938104999,0.014173785443003822,0.0027522322602415994,0.0038129167651404228
miniboone,3000,503,gated-T1,complete,6,2481,0.09454162511974573,0.2081451416015625,0.24206216405239137,0.2425082709036667,,0.24901405164530863,0.24475334384994551,32.0,44.0,0.4689418040425464,0.7600000000000001,-0.004260707795363111,12.0,0.29105819595745375,2,0.006951887592917261,0.006505780741641931,0.0026911797975541496,0.00224507294627882
miniboone,3000,503,gated-T2,complete,6,4868,0.09353145863860846,0.2081451416015625,0.24206216405239137,0.2425082709036667,,0.25666429336975344,0.24206216405239137,26.666666666666668,50.0,0.40990049282732216,1.0,-0.014602129317362073,23.333333333333332,0.5900995071726778,3,0.014602129317362073,0.014156022466086743,0.0,-0.0004461068512753297
miniboone,3000,503,ungated-T1,complete,6,2443,0.10986445937305689,0.2081451416015625,0.24206216405239137,0.2425082709036667,,0.24284832946520163,0.24206216405239137,38.0,50.0,0.5894573643410853,1.0,-0.0007861654128102635,12.0,0.4105426356589147,2,0.0007861654128102635,0.00034005856153493386,0.0,-0.0004461068512753297
miniboone,3000,503,ungated-T2,complete,6,4788,0.0945883747190237,0.2081451416015625,0.24206216405239137,0.2425082709036667,,0.25539821996313433,0.24206216405239137,21.333333333333332,50.0,0.39725490196078433,1.0,-0.013336055910742967,28.666666666666668,0.6027450980392157,3,0.013336055910742967,0.012889949059467637,0.0,-0.0004461068512753297
miniboone,3000,504,gated-T1,complete,6,2481,0.1017142916098237,0.1865386962890625,0.24112907655179297,0.24417232101636985,,0.2404379777892387,0.2402098222449863,38.0,44.0,0.6547368421052632,0.7600000000000001,-0.0002281555442524008,6.0,0.10526315789473695,1,-0.0006910987625542708,-0.0037343432271311483,-0.0009192543068066716,-0.003962498771383549
miniboone,3000,504,gated-T2,complete,6,4869,0.08258466701954603,0.1865386962890625,0.24112907655179297,0.24417232101636985,,0.2501992594545535,0.24262758817721974,27.333333333333332,38.0,0.3066666666666667,0.6266666666666666,-0.007571671277333769,10.666666666666668,0.3199999999999999,2,0.009070182902760543,0.0060269384381836655,0.0014985116254267739,-0.0015447328391501036
miniboone,3000,504,ungated-T1,complete,6,2442,0.10301162488758564,0.1865386962890625,0.24112907655179297,0.24417232101636985,,0.24401937223149314,0.24112907655179297,32.666666666666664,50.0,0.4572549019607843,1.0,-0.002890295679700172,17.333333333333336,0.5427450980392157,2,0.002890295679700172,-0.00015294878487670527,0.0,-0.0030432444645768775
miniboone,3000,504,ungated-T2,complete,6,4788,0.09519283380359411,0.1865386962890625,0.24112907655179297,0.24417232101636985,,0.24402056894830368,0.24237540809111327,32.666666666666664,44.0,0.4572549019607843,0.7600000000000001,-0.0016451608571904086,11.333333333333336,0.30274509803921584,1,0.0028914923965107087,-0.0001517520680661688,0.0012463315393203,-0.0017969129252565774
miniboone,3000,505,gated-T1,complete,6,2481,0.08478433452546597,0.19232177734375,0.2510154172183853,0.25200464009341644,,0.2584771169815147,0.2514856746891579,26.666666666666668,44.0,0.36098889587261684,0.7600000000000001,-0.00699144229235682,17.333333333333332,0.3990111041273833,3,0.007461699763129437,0.006472476888098266,0.00047025747077261704,-0.0005189654042585534
miniboone,3000,505,gated-T2,complete,6,4868,0.08538237493485212,0.19232177734375,0.2510154172183853,0.25200464009341644,,0.258619756482053,0.2567383827989333,26.666666666666668,44.0,0.3614215719478877,0.7600000000000001,-0.0018813736831196914,17.333333333333332,0.3985784280521124,3,0.007604339263667714,0.006615116388636544,0.005722965580548023,0.004733742705516852
miniboone,3000,505,ungated-T1,complete,6,2443,0.08009187504649162,0.19232177734375,0.2510154172183853,0.25200464009341644,,0.2618237024095237,0.25211018223328724,21.333333333333332,44.0,0.4260249554367201,0.7600000000000001,-0.009713520176236445,22.666666666666668,0.33397504456328003,3,0.010808285191138411,0.009819062316107241,0.001094765014901966,0.00010554213987079564
miniboone,3000,505,ungated-T2,complete,6,4781,0.07454212475568056,0.19232177734375,0.2510154172183853,0.25200464009341644,,0.2591655151253499,0.25161655986678894,21.333333333333332,38.0,0.41257957728545963,0.6266666666666666,-0.007548955258560974,16.666666666666668,0.21408708938120696,2,0.008150097906964637,0.007160875031933467,0.000601142648403663,-0.0003880802266275074
miniboone,5000,501,gated-T1,complete,6,2481,0.18758124951273203,0.210296630859375,0.23541224866577284,0.238584354496166,,0.23639903054451974,0.23541224866577284,44.0,50.0,0.7600000000000001,1.0,-0.0009867818787469007,6.0,0.23999999999999988,1,0.0009867818787469007,-0.002185323951646251,0.0,-0.0031721058303931515
miniboone,5000,501,gated-T2,complete,6,4867,0.1857670834288001,0.210296630859375,0.23541224866577284,0.238584354496166,,0.23537856790677222,0.23541224866577284,44.0,50.0,0.7600000000000001,1.0,3.368075900062051e-05,6.0,0.23999999999999988,1,-3.368075900062051e-05,-0.003205786589393772,0.0,-0.0031721058303931515
miniboone,5000,501,ungated-T1,complete,6,2442,0.17172716557979584,0.210296630859375,0.23541224866577284,0.238584354496166,,0.23822470071059723,0.23541224866577284,38.0,50.0,0.6266666666666666,1.0,-0.0028124520448243873,12.0,0.3733333333333334,2,0.0028124520448243873,-0.00035965378556876426,0.0,-0.0031721058303931515
