dataset,rows,seed,method,fold,one_se_size,argmin_size,argmin,one_se,loss_difference
yearpredictionmsd,3000,502,ungated-T2,2,8,32,98.4075719551571,99.63174432287734,-1.224172367720243
yearpredictionmsd,3000,503,gated-T1,0,16,32,95.77382315584775,102.5441933114045,-6.770370155556748
yearpredictionmsd,3000,503,gated-T1,1,16,32,101.8057498263557,106.0728041433798,-4.267054317024105
yearpredictionmsd,3000,503,gated-T1,2,8,32,103.27224452529047,103.08634420140851,0.18590032388196676
yearpredictionmsd,3000,503,gated-T2,0,8,32,96.27015511497694,103.89903712710706,-7.62888201213012
yearpredictionmsd,3000,503,gated-T2,1,16,32,99.10586389132138,100.55851774278027,-1.4526538514588907
yearpredictionmsd,3000,503,gated-T2,2,8,32,100.95865657697004,103.15066186256402,-2.1920052855939787
yearpredictionmsd,3000,503,ungated-T1,0,16,32,95.62918742284805,96.00169103041189,-0.3725036075638428
yearpredictionmsd,3000,503,ungated-T1,1,8,32,99.41240272552778,100.41803268229386,-1.0056299567660716
yearpredictionmsd,3000,503,ungated-T1,2,8,32,100.88344177531854,103.23358449534915,-2.350142720030604
yearpredictionmsd,3000,503,ungated-T2,0,8,32,95.3539885421362,104.47588023830019,-9.121891696163999
yearpredictionmsd,3000,503,ungated-T2,1,16,32,98.82463139791778,100.17276392838606,-1.348132530468277
yearpredictionmsd,3000,503,ungated-T2,2,8,32,101.75430803581193,104.66558216099376,-2.9112741251818335
yearpredictionmsd,3000,504,gated-T1,0,16,90,99.37438632537075,99.19960858245118,0.1747777429195736
yearpredictionmsd,3000,504,gated-T1,1,16,32,105.50243082385394,107.71181894515215,-2.209388121298204
yearpredictionmsd,3000,504,gated-T1,2,16,16,93.96752223985521,93.96752223985521,0.0
yearpredictionmsd,3000,504,gated-T2,0,16,90,99.37438632537075,99.76700798683063,-0.3926216614598843
yearpredictionmsd,3000,504,gated-T2,1,4,16,105.50613387345703,115.47400230711665,-9.967868433659618
yearpredictionmsd,3000,504,gated-T2,2,16,16,95.22374507912174,95.22374507912174,0.0
yearpredictionmsd,3000,504,ungated-T1,0,16,90,99.37438632537075,99.41417931599815,-0.03979299062740438
yearpredictionmsd,3000,504,ungated-T1,1,8,32,105.78901068356114,107.26514009134678,-1.4761294077856348
yearpredictionmsd,3000,504,ungated-T1,2,8,90,94.11347527232583,96.33612296246498,-2.222647690139155
yearpredictionmsd,3000,504,ungated-T2,0,8,90,99.37438632537075,99.18949935160786,0.184886973762886
yearpredictionmsd,3000,504,ungated-T2,1,4,32,105.72082311291524,115.47400230711665,-9.753179194201408
yearpredictionmsd,3000,504,ungated-T2,2,8,90,94.11347527232583,96.307843301218,-2.194368028892171
