n,rho,snr,contexts,control,seeds,valid,valid_fraction,compute_matched,local_passes,control_passes,local_wins,local_losses,ties,clears_minimum_effect,max_measured_imbalance,failure_reasons,qualified_recall_difference_n,qualified_recall_difference_mean,qualified_recall_difference_mcse,qualified_recall_difference_low,qualified_recall_difference_high,loss_difference_n,loss_difference_mean,loss_difference_mcse,loss_difference_low,loss_difference_high,size_difference_n,size_difference_mean,size_difference_mcse,size_difference_low,size_difference_high,jaccard_between_methods_n,jaccard_between_methods_mean,jaccard_between_methods_mcse,jaccard_between_methods_low,jaccard_between_methods_high
1000,0.9,2.0,4,global,10,10,1.0,10,10,10,2,2,6,2,0.0,{},10,-1.1102230246251566e-17,0.02342427896421021,-0.05298940044227146,0.052989400442271434,10,0.0019783228218130167,0.001661198409302033,-0.0017795690586185613,0.005736214702244595,10,-0.033333333333333305,0.13562839573037444,-0.34014608021362935,0.2734794135469627,10,0.9261904761904762,0.025939150066508338,0.8675120420706268,0.9848689103103256
1000,0.9,2.0,4,loco-matched,10,10,1.0,10,10,10,3,4,3,3,0.030831099195710455,{},10,-0.011111111111111105,0.042065987746668684,-0.10627098660241918,0.08404876438019698,10,-0.0006255545466993473,0.004028556506035529,-0.00973878250256493,0.008487673409166235,10,-0.29999999999999993,0.29165343885348194,-0.9597659157571323,0.35976591575713246,10,0.6490079365079365,0.034782940109348744,0.5703234593963923,0.7276924136194808
3000,0.5,0.25,2,global,10,3,0.3,10,3,3,1,0,2,1,0.0,"{""both_failed_constraints"": 7}",3,0.037037037037037056,0.03703703703703706,-0.12232047147220237,0.1963945455462765,10,-0.006524651683163363,0.005426874762467844,-0.018801095298688803,0.0057517919323620765,10,0.033333333333333305,0.13562839573037447,-0.27347941354696276,0.3401460802136294,10,0.9216666666666666,0.02961168438052539,0.8546803827427414,0.9886529505905919
3000,0.5,0.25,2,loco-matched,10,3,0.3,10,3,6,0,1,2,0,0.018421052631578946,"{""both_failed_constraints"": 4, ""candidate_failed_constraints"": 3}",3,-0.037037037037037014,0.03703703703703702,-0.19639454554627628,0.12232047147220226,10,0.01844382016092023,0.015075617313225972,-0.01565959552779853,0.052547235849638996,10,-0.06666666666666668,0.17777777777777773,-0.4688279400530141,0.3354946067196808,10,0.8299999999999998,0.03718673451103181,0.7458777621647941,0.9141222378352056
3000,0.5,0.25,4,global,10,4,0.4,10,5,4,0,0,4,0,0.0,"{""both_failed_constraints"": 5, ""comparator_failed_constraints"": 1}",4,0.0,0.0,0.0,0.0,10,-0.008178163536435079,0.00715401647077071,-0.024361673138565375,0.008005346065695217,10,0.10000000000000002,0.05091750772173156,-0.015183404804547926,0.21518340480454795,10,0.9666666666666666,0.01842569327975222,0.9249848526343524,1.0083484806989809
3000,0.5,0.25,4,loco-matched,10,5,0.5,10,5,6,1,0,4,1,0.030831099195710455,"{""both_failed_constraints"": 4, ""candidate_failed_constraints"": 1}",5,0.02222222222222222,0.022222222222222216,-0.03947655789328428,0.08392100233772873,10,-0.001981964953658988,0.005416325350932759,-0.01423454414231703,0.010270614234999054,10,0.1,0.1319371343004213,-0.1984625333967668,0.39846253339676685,10,0.8411111111111111,0.041476520867410584,0.7472847023429491,0.9349375198792732
3000,0.5,2.0,2,global,10,10,1.0,10,10,10,1,0,9,1,0.0,{},10,0.011111111111111117,0.011111111111111115,-0.014023968475535612,0.03624619069775785,10,0.0013720568247614251,0.0006865797388175726,-0.00018109444923686746,0.0029252080987597177,10,-0.1,0.0867805519545184,-0.29631124719549556,0.09631124719549555,10,0.9522222222222222,0.016875238147991883,0.9140477813718169,0.9903966630726275
3000,0.5,2.0,2,loco-matched,10,10,1.0,10,10,10,5,1,4,5,0.018421052631578946,{},10,0.04444444444444444,0.02456759103966962,-0.011131307598641192,0.10002019648753008,10,0.0014906325200364056,0.001120235873492836,-0.0010435170852089173,0.004024782125281729,10,0.03333333333333335,0.07777777777777777,-0.14261222377319366,0.20927889043986037,10,0.8172222222222221,0.04781544596077698,0.7090561686496599,0.9253882757947842
3000,0.5,2.0,4,global,10,10,1.0,10,10,10,1,0,9,1,0.0,{},10,0.011111111111111117,0.011111111111111115,-0.014023968475535612,0.03624619069775785,10,-0.0001749439766878802,0.00044475061615164847,-0.0011810397686742467,0.0008311518152984863,10,0.033333333333333305,0.0333333333333333,-0.04207190542660678,0.1087385720932734,10,0.9822222222222223,0.012306109426545302,0.9543838686367844,1.0100605758076604
3000,0.5,2.0,4,loco-matched,10,9,0.9,10,10,9,2,2,5,2,0.030831099195710455,"{""comparator_failed_constraints"": 1}",9,-1.2335811384723961e-17,0.026189140043946207,-0.060392265238780975,0.06039226523878095,10,-0.0014746522167169319,0.0024620508543843184,-0.007044198192135857,0.004094893758701994,10,0.0,0.09938079899999065,-0.22481498630243754,0.22481498630243754,10,0.8422222222222222,0.04422941811296863,0.7421683272315736,0.9422761172128709
