n,rho,snr,method,seeds,constraint_passes,loss_failures,size_failures,boundary_ties,folds,mean_outer_loss_n,mean_outer_loss_mean,mean_outer_loss_mcse,mean_outer_loss_low,mean_outer_loss_high,mean_selected_size_n,mean_selected_size_mean,mean_selected_size_mcse,mean_selected_size_low,mean_selected_size_high,class_recall_n,class_recall_mean,class_recall_mcse,class_recall_low,class_recall_high,model_fits_n,model_fits_mean,model_fits_mcse,model_fits_low,model_fits_high,wall_clock_seconds_n,wall_clock_seconds_mean,wall_clock_seconds_mcse,wall_clock_seconds_low,wall_clock_seconds_high,mean_pairwise_jaccard_n,mean_pairwise_jaccard_mean,mean_pairwise_jaccard_mcse,mean_pairwise_jaccard_low,mean_pairwise_jaccard_high
1000,0.5,2.0,local-T2,10,9,1,0,0,30,10,0.9907525115509195,0.01783775688629923,0.9504007020423246,1.0311043210595143,10,3.0,0.12171612389003691,2.724658998514119,3.275341001485881,10,0.6111111111111109,0.029860213882587215,0.5435626143939298,0.678659607828292,10,1120.4,0.30550504633038933,1119.7088995711729,1121.0911004288273,10,2.0979900000000002,0.016746073835048295,2.060107749125298,2.1358722508747023,10,0.6566666666666665,0.02646010533258036,0.5968097498601749,0.7165235834731581
1000,0.5,2.0,local-T4,10,7,3,0,0,30,10,0.9954578516360083,0.018322419523718367,0.9540096590706352,1.0369060442013815,10,2.9666666666666663,0.14444444444444443,2.6399106320402588,3.293422701293074,10,0.5888888888888888,0.02892685065150612,0.5234518064903904,0.6543259712873872,10,2174.9,0.9363047936792092,2172.7819314044164,2177.018068595584,10,4.0997200000000005,0.03593657313780614,4.018425823669891,4.18101417633011,10,0.6355555555555554,0.023456465234917057,0.5824933447104608,0.6886177664006501
1000,0.5,2.0,loco-gated-B1,10,5,5,0,0,30,10,1.0048977308774336,0.01649916664044093,0.967574022881559,1.0422214388733082,10,2.633333333333333,0.14444444444444443,2.3065772987069257,2.96008936795974,10,0.5111111111111111,0.0377705149155021,0.42566827025243154,0.5965539519697906,10,591.0,0.0,591.0,591.0,10,1.18487,0.01116583131203803,1.159611134718877,1.2101288652811233,10,0.7238888888888888,0.05141382444739226,0.6075827376483709,0.8401950401294067
1000,0.5,2.0,loco-matched-T2,10,10,0,0,0,30,10,0.9911587296316814,0.015166877001029486,0.9568488701865232,1.0254685890768396,10,3.0,0.16480441082434805,2.627186521592963,3.372813478407037,10,0.6111111111111109,0.034146460952936615,0.5338664498822161,0.6883557723400058,10,1140.0,0.0,1140.0,1140.0,10,2.31027,0.021922125049060968,2.260678707796509,2.359861292203491,10,0.6605555555555555,0.03856523164596215,0.5733149405526702,0.7477961705584407
1000,0.5,2.0,loco-matched-T4,10,9,1,0,0,30,10,0.9851361201201987,0.015295994767993515,0.9505341759936583,1.019738064246739,10,3.233333333333333,0.1651785416368723,2.859673512228921,3.606993154437745,10,0.6555555555555556,0.030765273566363247,0.5859596715919606,0.7251514395191505,10,2238.0,0.0,2238.0,2238.0,10,4.5133600000000005,0.04086714029089332,4.420912105867877,4.605807894132124,10,0.6566666666666666,0.03903675591999419,0.5683593896498466,0.7449739436834867
1000,0.5,2.0,loco-ungated-B1,10,5,5,0,0,30,10,1.0004114916188656,0.0162521725581468,0.9636465230554213,1.0371764601823097,10,2.9000000000000004,0.1575271875417536,2.5436487443669664,3.2563512556330343,10,0.5999999999999999,0.0377705149155021,0.5145571591413204,0.6854428408586793,10,186.0,0.0,186.0,186.0,10,0.3682,0.003897292507483741,0.3593837118386759,0.37701628816132415,10,0.6200793650793649,0.04257057664923866,0.5237780301878396,0.7163806999708902
1000,0.9,0.25,global-T2,10,5,5,0,1,30,10,4.804580149968315,0.10661940697620877,4.563390294783787,5.045770005152843,10,1.7666666666666668,0.28566578071516535,1.120445774655514,2.4128875586778196,10,0.4222222222222222,0.036288736930121156,0.3401313960468489,0.5043130483975955,10,1120.4,0.30550504633038933,1119.7088995711729,1121.0911004288273,10,2.10263,0.02479735671397254,2.0465344818910247,2.1587255181089753,10,0.3783333333333333,0.02944910282274269,0.31171483444488507,0.44495183222178153
1000,0.9,0.25,global-T4,10,6,4,0,0,30,10,4.780812481764369,0.09553487990588101,4.564697568888214,4.996927394640524,10,1.9,0.32603112780269355,1.1624663489459597,2.6375336510540404,10,0.4444444444444445,0.043822813208145295,0.34531035365167084,0.5435785352372181,10,2174.9,0.9363047936792092,2172.7819314044164,2177.018068595584,10,4.04646,0.03209320869661438,3.973860118069776,4.119059881930224,10,0.45944444444444443,0.06838350060509377,0.3047502187334162,0.6141386701554727
1000,0.9,0.25,local-T2,10,5,5,0,0,30,10,4.788381989005602,0.09365121108625765,4.576528231042098,5.000235746969106,10,1.7333333333333332,0.26199613605670213,1.1406568975272116,2.326009769139455,10,0.4333333333333333,0.03866780188485388,0.3458606883298492,0.5208059783368174,10,1120.4,0.30550504633038933,1119.7088995711729,1121.0911004288273,10,2.1094,0.021435064730483063,2.0609105147848945,2.1578894852151054,10,0.4261111111111111,0.04505788077603554,0.32418310337309475,0.5280391188491275
1000,0.9,0.25,local-T4,10,6,4,0,0,30,10,4.77871143413997,0.09503533758757335,4.563726564497295,4.993696303782644,10,1.8333333333333333,0.30731814857642953,1.1381313822732801,2.5285352843933864,10,0.4333333333333333,0.045209465243458154,0.33106241770656797,0.5356042489600986,10,2174.9,0.9363047936792092,2172.7819314044164,2177.018068595584,10,4.064570000000001,0.03583002480850074,3.9835168527362135,4.145623147263788,10,0.5527777777777777,0.08551165299743603,0.35933697944691323,0.7462185761086422
